id,date, price ,bedrooms,bathrooms,condition,yr_built,zipcode
7229300521,20141013," $231,300 ",2,1,3,1955,98178
6414100192,20141209," $538,000 ",3,2.25,3,1951,98125
5631500400,20150225," $180,000 ",2,1,3,1933,98028
2487200875,20141209," $604,000 ",4,3,5,1965,98136
1954400510,20150218," $510,000 ",3,2,3,1987,98074
7237550310,20140512," $1,230,000 ",4,4.5,3,2001,98053
1321400060,20140627," $257,500 ",3,2.25,3,1995,98003
2008000270,20150115," $291,850 ",3,1.5,3,1963,98198
2414600126,20150415," $229,500 ",3,1,3,1960,98146
3793500160,20150312," $323,000 ",3,2.5,3,2003,98038
1736800520,20150403," $662,500 ",3,2.5,3,1965,98007
9212900260,20140527," $468,000 ",2,1,4,1942,98115
114101516,20140528," $310,000 ",3,1,4,1927,98028
6054650070,20141007," $400,000 ",3,1.75,4,1977,98074
1175000570,20150312," $530,000 ",5,2,3,1900,98107
9297300055,20150124," $650,000 ",4,3,3,1979,98126
1875500060,20140731," $395,000 ",3,2,3,1994,98019
6865200140,20140529," $485,000 ",4,1,4,1916,98103
16000397,20141205," $189,000 ",2,1,4,1921,98002
7983200060,20150424," $230,000 ",3,1,4,1969,98003
6300500875,20140514," $385,000 ",4,1.75,4,1947,98133
2524049179,20140826," $2,000,000 ",3,2.75,3,1968,98040
7137970340,20140703," $285,000 ",5,2.5,3,1995,98092
8091400200,20140516," $252,700 ",2,1.5,3,1985,98030
3814700200,20141120," $329,000 ",3,2.25,4,1985,98030
1202000200,20141103," $233,000 ",3,2,5,1941,98002
1794500383,20140626," $937,000 ",3,1.75,3,1915,98119
3303700376,20141201," $667,000 ",3,1,5,1909,98112
5101402488,20140624," $438,000 ",3,1.75,3,1948,98115
1873100390,20150302," $719,000 ",4,2.5,3,2005,98052
8562750320,20141110," $580,500 ",3,2.5,3,2003,98027
2426039314,20141201," $280,000 ",2,1.5,3,2005,98133
461000390,20140624," $687,500 ",4,1.75,4,1929,98117
7589200193,20141110," $535,000 ",3,1,4,1929,98117
7955080270,20141203," $322,500 ",4,2.75,3,1981,98058
9547205180,20140613," $696,000 ",3,2.5,3,1930,98115
9435300030,20140528," $550,000 ",4,1,1,1933,98052
2768000400,20141230," $640,000 ",4,2,4,1904,98107
7895500070,20150213," $240,000 ",4,1,2,1969,98001
2078500320,20140620," $605,000 ",4,2.5,3,1996,98056
5547700270,20140715," $625,000 ",4,2.5,3,2000,98074
7766200013,20140811," $775,000 ",4,2.25,3,1984,98166
7203220400,20140707," $861,990 ",5,2.75,3,2014,98053
9270200160,20141028," $685,000 ",3,1,3,1922,98119
1432701230,20140729," $309,000 ",3,1,4,1959,98058
8035350320,20140718," $488,000 ",3,2.5,3,2003,98019
8945200830,20150325," $210,490 ",3,1,3,1966,98023
4178300310,20140716," $785,000 ",4,2.5,4,1981,98007
9215400105,20150428," $450,000 ",3,1.75,4,1953,98115
822039084,20150311," $1,350,000 ",3,2.5,5,1953,98070
5245600105,20140916," $228,000 ",3,1,3,1955,98148
7231300125,20150217," $345,000 ",5,2.5,4,1966,98056
7518505990,20141231," $600,000 ",3,1.75,4,1950,98117
3626039271,20150205," $585,000 ",2,1.75,3,1981,98117
4217401195,20150303," $920,000 ",5,2.25,3,1927,98105
9822700295,20140512," $885,000 ",4,2.5,3,1995,98105
9478500640,20140819," $292,500 ",4,2.5,3,2008,98042
2799800710,20150407," $301,000 ",3,2.5,3,2003,98042
7922800400,20140827," $951,000 ",5,3.25,4,1968,98008
8079040320,20150223," $430,000 ",4,3,3,1991,98059
1516000055,20141210," $650,000 ",3,2.25,4,1959,98166
9558200045,20140828," $289,000 ",3,1.75,3,1954,98148
5072410070,20141021," $505,000 ",3,1.75,5,1973,98166
9528102996,20141207," $549,000 ",3,1.75,3,2014,98115
1189001180,20140603," $425,000 ",3,2.25,3,1979,98122
3253500160,20141120," $317,625 ",3,2.75,5,1925,98144
3394100030,20140909," $975,000 ",4,2.5,3,1989,98004
3717000160,20141009," $287,000 ",4,2.5,3,2005,98001
1274500060,20140825," $204,000 ",3,1,4,1968,98042
1802000060,20140612," $1,330,000 ",5,2.25,3,1965,98004
1525059190,20140912," $1,040,000 ",5,3.25,4,1973,98005
1049000060,20150105," $325,000 ",3,2,4,1972,98034
8820901275,20140610," $571,000 ",4,2,5,1916,98125
5416510140,20140710," $360,000 ",4,2.5,3,2005,98038
3444100400,20150316," $349,000 ",3,1.75,5,1965,98042
3276920270,20141105," $832,500 ",4,4,4,1986,98075
4036801170,20141013," $380,000 ",4,1.75,3,1956,98008
2391600320,20150420," $480,000 ",3,1,3,1941,98116
6300000287,20140609," $410,000 ",3,1,4,1956,98133
1531000030,20150323," $720,000 ",4,2.5,3,2002,98010
5104520400,20141202," $390,000 ",3,2.5,3,2003,98038
7437100340,20141222," $360,000 ",4,2.5,3,1992,98038
9418400240,20141028," $355,000 ",2,1,3,1948,98118
1523059105,20150128," $356,000 ",3,1.5,3,1964,98059
1133000671,20140602," $315,000 ",3,1,3,1952,98125
4232902595,20141114," $940,000 ",3,1.5,3,1925,98119
2599001200,20141103," $305,000 ",5,2.25,5,1961,98092
3342103156,20140618," $461,000 ",3,3.25,3,2006,98056
1332700270,20140519," $215,000 ",2,2.25,4,1979,98056
3869900162,20140904," $335,000 ",2,1.75,3,2006,98136
2791500270,20140522," $243,500 ",4,2.5,3,1988,98023
5036300431,20150311," $1,100,000 ",5,2.75,4,2001,98199
4168000060,20150226," $153,000 ",3,1,3,1962,98023
6021501535,20140725," $430,000 ",3,1.5,3,1939,98117
6021501535,20141223," $700,000 ",3,1.5,3,1939,98117
